,AFC Wimbledon, Aberdeen, Accrington Stanley, Arsenal, Aston Villa, Barnsley, Barrow, Birmingham City, Blackburn Rovers, Blackpool, Bolton Wanderers, Bournemouth, Bradford City, Brentford, Brighton, Bristol City, Bristol Rovers, Burnley, Burton Albion, Cambridge United, Cardiff City, Carlisle United, Celtic, Charlton Athletic, Chelsea, Cheltenham Town, Colchester United, Coventry City, Crawley Town, Crewe Alexandra, Crystal Palace, Derby County, Doncaster Rovers, Dundee, Everton, Exeter City, Fleetwood Town, Forest Green Rovers, Fulham, Gillingham, Grimsby Town, Harrogate Town, Heart of Midlothian, Hibernian, Huddersfield Town, Hull City, Ipswich Town, Kilmarnock, Leeds United, Leicester City, Leyton Orient, Lincoln City, Liverpool, Livingston, Luton Town, MK Dons, Manchester City, Manchester United, Mansfield Town, Middlesbrough , Millwall, Morecambe, Motherwell, Newcastle United, Newport County, Northampton Town, Norwich City, Nottingham Forest, Notts County, Oxford United, Peterborough United, Plymouth Argyle, Port Vale, Portsmouth, Preston North End, Queens Park Rangers, Rangers, Reading, Ross County, Rotherham United, Salford City, Sheffield United, Sheffield Wednesday, Shrewsbury Town, Southampton, St Johnstone, St Mirren, Stevenage Borough, Stockport County, Stoke City, Sunderland, Sutton United, Swansea City, Swindon Town, Tottenham Hotspur, Tranmere Rovers, Walsall, Watford, West Bromwich Albion, West Ham, Wigan Athletic, Wolverhampton Wanderers, Wrexham, Wycombe Wanderers
 Swindon Town,M4,,,M4,M5,,,M5,,,,,,M4,,M4,M4,,,,M4,,,M4,M4,,,,M4,,M4,,,,,M5,,,M4,,,,,,,,,,,,,,,,M4,,,,,,M4,,,,M4,,,,,,,,,,,M4,,M4,,,,,,,,,,M4,,,,M4,M4,X,M4,,,M4,,,,,,M4
 Tottenham Hotspur,,,,,M1,M1,,M1,,,,,M1,,,M4,M4,,M1,,M4,,,,,,A12,M1,,,,M1,,,,,,M4,,,,,,,M1,,A12,,M1,M1,,,,,M1,M1,,,M1,,,,,,M4,M1,,M1,M1,,,,,,,,,M4,,M1,,M1,M1,,M3,,,,,,,,M4,M4,X,,,,,,,,,
 Tranmere Rovers,,,,,M6,,,M6,,,,,,,,,,,,,,M6,,,,,,,,,,,,,,,,,,,,,,,,M62,,,,,,,,,,,,M62,,,,,,,,M6,,,,,,,,,,,,,,,M62,,,,,,,,M56,,,,,,,X,M6,,M6,,,M6,,
 Walsall,M40,,M6,,,M1,M6,,M6,M6,M6,,,M40,,M5,M5,M6,,A14,,,,,M40,M5,,M6,M40,M6,M40,A38,,,M6,M5,M6,M5,M40,,,M1,,,M6,,,,,M6,,,M6,,,,M6,M6,,,,M6,,,,M6,,,,,,,M6,,M6,M40,,M40,,,M6,,,M54,,,,,M6,M6,,M40,,,,M6,X,M1,,,M6,,,M40
 Watford,,,,,M1,M1,,M1,,,,,M1,,,M4,M4,,M1,,M4,,,,,,A12,M1,M25,,,M1,M1,,,,,M4,,M25,,M1,,,M1,M1,A12,,M1,M1,,M1,,,M1,,,,M1,M1,,,,M1,M4,M1,,M1,M1,M40,,,,,,,,M4,,M1,,M1,M1,,M3,,,,,,M1,M25,M4,M4,,,M1,X,,M25,,,,
 West Bromwich Albion,M40,,M6,,A4040,M1,M6,,M6,M6,M6,,,M40,,M5,M5,M6,,A14,,,,,M40,M5,,M6,M40,M6,M40,,,,M6,M5,M6,M5,M40,,,M1,,,M6,,,,M1,M6,,,M6,,,,M6,M6,,,,M6,,,,M6,,,,M40,,,M6,,M6,M40,,M40,,,M6,,,M54,,,,,M6,M6,,M40,,,,M6,,,X,,M6,,,M40
 West Ham,,,,,,,,,,,,,,,,M4,M4,,M1,,M4,,,,,,A12,M1,,,,M1,,,,,,,,A2,,,,,M1,,A12,,,M1,,,,,,,,,M1,,,,,,M4,M1,,,,,,,,,,,,M25,,M1,,M1,M1,,,,,,,,,,M4,,,,,M25,,X,,,,M25
 Wigan Athletic,,,,,M6,M62,,M6,M6,,,,M62,,,,,,M6,,,M6,,,,M6,,M6,,M6,,M6,M62,,M58,,,,,,,,,,,M62,,,M62,,,,M58,,M6,M6,,,,,,M6,M6,A1(M),,M6,,,,,M6,,M6,,M6,,,,,,,,,,,,,,,M6,,,,,,,M6,,M6,,X,M6,,
 Wolves,M40,,M6,,,,M6,,M6,M6,M6,,,M40,,M5,M5,M6,,A14,,,,,M40,,,M6,,M6,,,,,M6,,M6,M5,M40,,,,,,M6,,,,,,,,M6,,,,M6,M6,,,,M6,,,,M6,,,,,,,M6,,M6,M40,,M40,,,M6,,,M54,,,,,M6,M6,,M40,,,,M6,,,,,M6,X,,M40
 Wrexham,,,,,,,,,,,,,,,,,,,,,,M6,,,,,,,,,,,,,,,,,,,,,,,,M62,,,,,,,,,,,M56,M56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M56,,,,,,,,,,,,,,X,
 Wycombe Wanderers,,,,,M40,M1,,M40,,,,,M1,,,M4,M4,,M40,,M4,,,M25,,,,M40,M25,,M25,,M1,,,,,M4,,M25,,M1,,,M1,,,,M1,,M25,,,,,,,,M1,M1,,,,,M4,M40,,,,M40,,,M40,,,,,,,M1,,,M1,M40,,,,,,M40,,,M4,M4,,,M40,,M40,M25,,M40,,X
