Name,City,Country,Latitude,Longtiude,Status,Visited
Hard Rock Cafe Osaka,Osaka,Japan,34.66270147,135.5008551,CLOSED,Y
Hard Rock Cafe Osaka Universal Citywalk,Osaka Universal Citywalk,Japan,34.66829258,135.4363291,OPEN,Y
Hard Rock Cafe Ottawa,Ottawa,Canada,45.42886093,-75.69217579,CLOSED,Y
"Hard Rock Cafe Oxford Street, London",Oxford Street,UK,51.5134518,-0.158997068,CLOSED,Y
Hard Rock Cafe Panama,Panama,Panama,8.976103242,-79.51744534,OPEN,N
Hard Rock Cafe Pattaya,Pattaya,Thailand,12.93969738,100.8842455,OPEN,N
Hard Rock Cafe Penang,Penang,Malaysia,5.46754601,100.2416777,OPEN,N
Hard Rock Cafe Philadelphia,Philadelphia,USA,39.95231843,-75.15956905,OPEN,Y
Hard Rock Cafe Phnom Penh,Phnom Penh,Cambodia,11.57416424,104.9217339,OPEN,N
Hard Rock Cafe Phuket,Phuket,Thailand,7.88731895,98.29425534,OPEN,N
"Hard Rock Cafe Piccadilly Circus, London",Piccadilly Circus,UK,51.5105032,-0.133754839,OPEN,Y
Hard Rock Cafe Pigeon Forge,Pigeon Forge,USA,35.82415323,-83.57877632,OPEN,N
Hard Rock Cafe Podgorica,Podgorica,Montenegro,42.44181752,19.26238669,OPEN,N
Hard Rock Cafe Ponce,Ponce,Puerto Rico,17.99707786,-66.6041216,OPEN,N
Hard Rock Cafe Port El Kantaoui,Port El Kantaoui,Tunisia,35.90732601,10.58092811,OPEN,N
Hard Rock Cafe Porto,Porto,Portugal,41.14738162,-8.612045807,OPEN,N
Hard Rock Cafe Porto Alegre,Porto Alegre,Brazil,-30.07914257,-51.24739452,OPEN,N
Hard Rock Cafe Prague,Prague,Czech Republic,50.08680504,14.41912858,OPEN,N
Hard Rock Cafe Pune,Pune,India,18.5191982,73.93550823,OPEN,N
Hard Rock Cafe Punta Cana,Punta Cana,Dominican Republic,18.64126913,-68.39451157,OPEN,N
Hard Rock Cafe Puteri Harbour,Puteri Harbour,Malaysia,1.412369256,103.655453,OPEN,N
Hard Rock Cafe Reykjavik,Reykjavik,Iceland,64.14715308,-21.93710938,OPEN,N
Hard Rock Cafe Ribeiaro Preto,Ribeiaro Preto,Brazil,-21.20172051,-47.78932055,OPEN,N
"Hard Rock Cafe Rockford, IL","Rockford, IL",USA,42.27024576,-88.96226976,OPEN,N
Hard Rock Cafe Rome,Rome,Italy,41.90656352,12.48974068,OPEN,Y
Hard Rock Cafe Sacramento,Sacramento,USA,39.05083362,-121.5121992,OPEN,N
Hard Rock Cafe San Antonio,San Antonio,USA,29.42537008,-98.48921401,OPEN,N
Hard Rock Cafe San Francisco,San Francisco,USA,37.8087722,-122.4100044,OPEN,Y
"Hard Rock Cafe Santa Cruz, Bolivia",Santa Cruz,Bolivia,-17.75295839,-63.19900122,OPEN,N
Hard Rock Cafe Santiago,Santiago,Chile,-33.41683965,-70.606339,OPEN,N
Hard Rock Cafe Santo Domingo,Santo Domingo,Dominican Republic,18.47281191,-69.94055316,OPEN,N
Hard Rock Cafe Sharm El Sheikh,Sharm El Sheikh,Egypt,27.90945731,34.32385473,OPEN,Y
Hard Rock Cafe Shenzhen,Shenzhen (relocation),China,22.72385912,114.0689315,OPEN,N
Hard Rock Cafe Singapore,Singapore,Singapore,1.30590551,103.8280762,OPEN,N
Hard Rock Cafe Stockholm,Stockholm,Sweden,59.34415078,18.05482592,OPEN,Y
Hard Rock Cafe Sun City,Sun City,South Africa,-25.34671656,27.10016281,OPEN,N
Hard Rock Cafe Suriname Airport,Suriname Airport,Suriname,5.456120255,-55.20013596,OPEN,N
Hard Rock Cafe Suriname,Suriname,Suriname,5.867679337,-55.17441851,OPEN,N
Hard Rock Cafe Tampa Bay Airport,Tampa Bay Airport TPA,USA,27.98180359,-82.53437104,OPEN,N
Hard Rock Cafe Tampa,Tampa,USA,27.99806006,-82.3742496,OPEN,N
Hard Rock Cafe Tenerife,Tenerife,Spain,28.05494258,-16.73119921,OPEN,N
Hard Rock Cafe Tianjin,Tianjin,China,39.09269155,117.177014,OPEN,N
Hard Rock Cafe Tokyo,Tokyo,Japan,35.70032276,139.7225696,OPEN,Y
Hard Rock Cafe Tokyo Uyeno,Tokyo Uyeno,Japan,35.71218279,139.7761805,OPEN,Y
Hard Rock Cafe Toronto,Toronto,Canada,43.65713048,-79.38052297,CLOSED,Y
Hard Rock Cafe Tromso,Tromso,Norway,69.64771431,18.95341288,OPEN,N
Hard Rock Cafe Ulaanbaatar,Ulaanbaatar,Mongolia,47.91326902,106.9337862,OPEN,N
Hard Rock Cafe Ushuaia,Ushuaia,Argentina,-54.80667543,-68.30595784,OPEN,N
Hard Rock Cafe Valencia,Valencia,Spain,39.46883378,-0.377103836,OPEN,N
Hard Rock Cafe Venice,Venice,Italy,45.43418113,12.33683625,OPEN,N
Hard Rock Cafe Vienna,Vienna,Austria,48.21147463,16.37548221,OPEN,N
Hard Rock Cafe Vientiane,Vientiane,Laos,17.96536,102.6062332,OPEN,N
Hard Rock Cafe Warsaw,Warsaw,Poland,52.23013811,21.00409558,OPEN,N
Hard Rock Cafe Washington D.C.,Washington D.C.,USA,38.8964788,-77.02589121,OPEN,Y
Hard Rock Cafe Whitefield Bengaluru,Whitefield Bengaluru,India,12.98714993,77.73603916,OPEN,N
Hard Rock Cafe Wroclaw,Wroclaw,Poland,51.10929865,17.03221645,OPEN,N
Hard Rock Cafe Yerevan,Yerevan,Armenia,40.18019077,44.51612779,OPEN,N
Hard Rock Cafe Yokohama,Yokohama,Japan,35.45602863,139.6326989,OPEN,Y
